title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,in_release,release_date
Driven,"$32,720,065","$54,744,738",Warner Bros.,"$12,174,504","2,905","$94,000,000",PG-13,"Action,Drama,Sport",249,27/04/2001
What's the Worst That Could Happen?,"$32,269,834","$38,464,131",Metro-Goldwyn-Mayer (MGM),"$13,049,114","2,675","$60,000,000",PG-13,"Comedy,Crime",214,01/06/2001
Supercross,"$3,102,550","$3,344,431",Twentieth Century Fox,"$1,330,520","1,621",N/A,PG-13,"Action,Drama,Romance,Sport",137,17/08/2005
Land of the Lost,"$49,438,370","$68,777,554",Universal Pictures,"$18,837,350","3,521","$100,000,000",PG-13,"Action,Adventure,Comedy,Sci-Fi",210,05/06/2009
Slackers,"$5,285,941","$6,413,915",Sony Pictures Entertainment (SPE),"$2,785,283","1,893","$14,000,000",R,"Comedy,Romance",334,01/02/2002
The Libertine,"$4,835,065","$10,852,064",The Weinstein Company,"$27,804",2,N/A,R,"Biography,Drama,History,Romance",402,N/A
Madagascar: Escape 2 Africa,"$180,010,950","$603,900,354",DreamWorks,"$63,106,589","4,056","$150,000,000",PG,"Adventure,Animation,Comedy,Family",420,07/11/2008
Flipped,"$1,755,212","$1,755,212",Warner Bros.,"$224,233",45,"$14,000,000",PG,"Comedy,Drama,Romance",148,06/08/2010
Mansfield Park,"$4,775,847","$4,775,847",Miramax,"$85,608",8,N/A,PG-13,"Comedy,Drama,Romance",409,19/11/1999
The Dark Knight,"$533,345,358","$1,003,845,358",Warner Bros.,"$158,411,483","4,366","$185,000,000",PG-13,"Action,Crime,Drama,Thriller",532,18/07/2008
Inside Llewyn Davis,"$13,235,319","$32,935,319",CBS Films,"$405,411",4,N/A,R,"Drama,Music",391,N/A
Kick,"$2,472,695","$43,996,483",UTV Motion Pictures,"$1,071,373",180,N/A,N/A,"Action,Comedy,Crime,Thriller",160,25/07/2014
