title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Black Panther,"$700,059,566","$1,346,913,161",Walt Disney Studios Motion Pictures,"$202,003,951","4,020",N/A,PG-13,"Action,Adventure,Sci-Fi",319
Ready Player One,"$137,690,172","$583,490,172",Warner Bros.,"$41,764,050","4,234","$175,000,000",PG-13,"Action,Adventure,Sci-Fi",278
Ocean's Eight,"$140,218,711","$297,718,711",Warner Bros.,"$41,607,378","4,145","$70,000,000",PG-13,"Action,Comedy,Crime",207
Crazy Rich Asians,"$174,532,921","$239,032,921",Warner Bros.,"$26,510,140","3,384","$30,000,000",PG-13,"Comedy,Drama,Romance",504
The Meg,"$145,443,742","$529,243,742",Warner Bros.,"$45,402,195","4,118","$130,000,000",PG-13,"Action,Horror,Sci-Fi,Thriller",147
The Greatest Showman,"$174,340,174","$434,993,183",Twentieth Century Fox,"$8,805,843","3,006","$84,000,000",PG,"Biography,Drama,Musical",377
Ralph Breaks the Internet,"$201,091,711","$529,323,962",Walt Disney Studios Motion Pictures,"$56,237,634","4,017","$175,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",406
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$655,755,901",Warner Bros.,"$62,163,104","4,163","$200,000,000",PG-13,"Adventure,Family,Fantasy",411
Halloween,"$159,342,015","$255,485,178",Universal Pictures,"$76,221,545","3,928","$10,000,000",R,"Crime,Horror,Thriller",439
A Call to Spy,"$159,014","$786,484",IFC Films,"$35,098",75,N/A,PG-13,"Biography,Crime,Drama,Thriller,War",98
Mamma Mia! Here We Go Again,"$120,634,935","$395,044,706",Universal Pictures,"$34,952,180","3,317","$75,000,000",PG-13,"Comedy,Musical,Romance",165
Minari,"$3,110,580","$15,282,731",A24,"$193,460",786,N/A,PG-13,Drama,323
Kaamelott: First Installment,"$188,000","$21,979,122",Paramount Pictures,"$188,000",26,N/A,N/A,"Adventure,Comedy,Fantasy",162
Hotel Transylvania 3: Summer Vacation,"$167,510,016","$528,583,774",Sony Pictures Entertainment (SPE),"$44,076,225","4,267","$80,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Horror",175
Love Story,"$153,504","$153,504",Fathom Events,"$87,198",650,N/A,PG,"Drama,Romance",327
Earwig and the Witch,"$173,704","$842,744",GKIDS,"$92,029",430,N/A,PG,"Adventure,Animation,Family,Fantasy",332
Faustina: Love and Mercy,"$2,243,180","$3,498,887",Fathom Events,N/A,N/A,N/A,N/A,"Biography,Drama,Family",67
The Sisters Brothers,"$3,143,056","$13,143,056",Annapurna Pictures,"$115,575",4,N/A,R,"Drama,Western",105
Super 30,"$2,269,878","$24,701,637",Reliance Big Pictures,"$871,256",317,N/A,N/A,"Biography,Drama",173
Top Gun: Maverick,"$718,732,821","$1,495,696,292",Paramount Pictures,"$126,707,459","4,735",N/A,PG-13,"Action,Drama",558
Welcome to Marwen,"$10,763,520","$13,061,491",Universal Pictures,"$2,354,205","1,911",N/A,PG-13,"Biography,Comedy,Drama,Fantasy,Romance",376
"My People, My Country","$2,356,683","$450,064,993",CMC Pictures,"$876,001",67,N/A,N/A,"Drama,History",94
Instant Family,"$67,363,237","$120,556,201",Paramount Pictures,"$14,504,315","3,286","$48,000,000",PG-13,"Comedy,Drama",411
Tod@s caen,"$2,670,925","$9,667,157",Pantelion Films,"$1,098,401",371,N/A,PG-13,Comedy,124
Arctic,"$2,410,795","$4,124,015",Bleecker Street Media,"$50,878",4,N/A,PG-13,"Adventure,Drama",334
The Art of Self-Defense,"$2,410,914","$2,414,269",Bleecker Street Media,"$114,374",7,N/A,R,"Action,Comedy,Crime,Drama,Mystery,Thriller",173
Kalank,"$2,729,336","$17,987,034",FIP,"$1,276,581",320,N/A,Not Rated,"Drama,Romance",259
Friends 25th: The One With The Anniversary,"$2,884,827","$3,403,406",Fathom Events,"$1,177,873","1,586",N/A,N/A,Comedy,100
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$655,755,901",Warner Bros.,"$62,163,104","4,163","$200,000,000",PG-13,"Adventure,Family,Fantasy",411
Saaho,"$2,872,057","$5,708,522",Yash Raj Films,"$1,452,102",381,N/A,N/A,"Action,Thriller",125
Everybody Knows,"$2,660,165","$19,837,146",Focus Features,"$71,207",4,N/A,R,"Crime,Drama,Mystery,Thriller",327
Bharat,"$2,971,549","$33,185,983",Viva Pictures,"$1,252,301",311,N/A,Not Rated,"Action,Comedy,Drama",210
Promare,"$2,529,324","$9,683,064",GKIDS,"$109,085",54,N/A,PG-13,"Action,Adventure,Animation,Comedy,Drama,Fantasy,Sci-Fi,Thriller",837
Simmba,"$5,102,129","$51,329,025",Reliance Big Pictures,"$1,758,576",301,N/A,N/A,"Action,Crime,Drama",369
Honey Boy,"$3,012,615","$3,400,977",Amazon Studios,"$301,065",4,N/A,R,Drama,420
Jay and Silent Bob Reboot,"$4,589,490","$4,691,248",Saban Films,"$93,520",1,N/A,R,"Action,Adventure,Comedy",444
BTS World Tour: Love Yourself in Seoul,"$3,509,917","$10,195,760",Fathom Events,"$2,860,016",997,N/A,N/A,"Documentary,Music",340
Echo in the Canyon,"$3,355,324","$3,355,324",Greenwich Entertainment,"$117,651",2,N/A,PG-13,"Documentary,Music",222
Mission Mangal,"$3,659,413","$5,667,057",FIP,"$1,365,006",263,N/A,N/A,"Drama,History",139
The Beach Bum,"$3,502,600","$4,554,416",Neon,"$1,763,070","1,100",N/A,R,Comedy,278
Creed II,"$115,715,889","$214,215,889",Metro-Goldwyn-Mayer (MGM),"$35,574,710","3,441","$50,000,000",PG-13,"Action,Drama,Sport",406
Ne Zha,"$3,695,533","$726,063,471",Well Go USA Entertainment,"$1,015,755",66,N/A,N/A,"Action,Adventure,Animation,Family,Fantasy,Thriller",125
Uri: The Surgical Strike,"$4,186,168","$39,346,577",PackYourBag Films,"$631,146",101,N/A,N/A,"Action,Drama,History,War",355
Maiden,"$3,168,978","$3,495,241",Sony Pictures Classics,"$46,931",6,N/A,PG,"Biography,Documentary,Sport",553
Replicas,"$4,046,429","$9,330,075",Entertainment Studios Motion Pictures,"$2,375,325","2,329",N/A,PG-13,"Action,Drama,Sci-Fi,Thriller",355
Linda Ronstadt: The Sound of My Voice,"$4,252,657","$4,252,657",Greenwich Entertainment,"$113,235",7,N/A,PG-13,"Biography,Documentary,Music",483
The Oscar Nominated Short Films 2019: Documentary,"$3,531,094","$3,538,550",Shorts International,"$938,455",270,N/A,N/A,Documentary,327
Amazing Grace,"$4,450,456","$7,796,112",Neon,"$57,353",3,N/A,G,"Documentary,Music",390
Pain and Glory,"$4,567,338","$37,359,689",Sony Pictures Classics,"$152,636",4,N/A,R,Drama,455
The Grinch,"$270,620,950","$511,595,957",Universal Pictures,"$67,572,855","4,141","$75,000,000",PG,"Animation,Comedy,Family,Fantasy,Musical",418
The Biggest Little Farm,"$4,366,949","$5,270,685",Neon,"$110,492",5,N/A,PG,"Documentary,Family",236
War,"$4,654,000","$67,179,155",Yash Raj Films,"$1,607,627",305,"$21,000,000",N/A,"Action,Adventure,Thriller",93
Brian Banks,"$4,376,819","$4,376,819",Bleecker Street Media,"$2,156,272","1,240",N/A,PG-13,"Biography,Drama,Sport",145
Cold War,"$4,580,048","$20,296,042",Amazon Studios,"$54,353",3,N/A,R,"Drama,Music,Romance",376
The Last Black Man in San Francisco,"$4,515,719","$4,637,830",A24,"$235,272",7,N/A,R,Drama,208
Menteur,"$4,697,364","$4,697,364",Entertainment One,"$607,229",89,N/A,N/A,Comedy,175
The Sun Is Also a Star,"$4,950,029","$6,750,029",Warner Bros.,"$2,511,530","2,073",N/A,PG-13,"Drama,Music,Romance",229
Bring the Soul: The Movie,"$4,809,800","$11,670,166",Trafalgar Releasing,"$2,296,491",873,N/A,N/A,"Documentary,Music",147
Pavarotti,"$4,600,249","$8,083,942",CBS Films,"$144,032",19,N/A,PG-13,"Biography,Documentary,Music",208
The Mustang,"$5,043,620","$6,405,816",Focus Features,"$71,657",4,N/A,R,Drama,292
The Goldfinch,"$5,332,621","$10,032,621",Warner Bros.,"$2,679,027","2,542","$45,000,000",R,Drama,110
