title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,running_time,genres,in_release,release_date
Coupe de Ville,"$715,983","$715,983",Universal Pictures,"$66,871",7,N/A,N/A,"Comedy,Drama",99,298,09/03/1990
Once Upon a Forest,"$6,582,052","$6,582,052",Twentieth Century Fox,"$2,206,251","1,487",N/A,N/A,"Adventure,Animation,Drama,Family",71,197,18/06/1993
Titanic,"$600,683,057","$1,843,373,318",Paramount Pictures,"$28,638,131","2,674","$200,000,000",PG-13,"Drama,Romance",194,378,19/12/1997
Harry Potter and the Sorcerer's Stone,"$317,575,550","$974,755,371",Warner Bros.,"$90,294,621","3,672","$125,000,000",PG,"Adventure,Family,Fantasy",152,411,16/11/2001
Driven,"$32,720,065","$54,744,738",Warner Bros.,"$12,174,504","2,905","$94,000,000",PG-13,"Action,Drama,Sport",116,249,27/04/2001
Crocodile Dundee in Los Angeles,"$25,635,682","$39,438,674",Paramount Pictures,"$7,714,362","2,123",N/A,PG,"Action,Adventure,Comedy,Crime",95,256,20/04/2001
Shadow of the Wolf,"$1,434,174","$1,434,174",Triumph Releasing Corporation,"$747,119",373,N/A,PG-13,"Adventure,Drama,Thriller",112,302,05/03/1993
Pirates of the Caribbean: Dead Man's Chest,"$423,315,812","$1,066,179,725",Walt Disney Studios Motion Pictures,"$135,634,554","4,133","$225,000,000",PG-13,"Action,Adventure,Fantasy",151,182,07/07/2006
The Celluloid Closet,"$1,400,591","$1,400,591",Sony Pictures Classics,"$95,047",9,N/A,R,"Documentary,History",102,292,15/03/1996
Brother's Keeper,"$1,305,915","$1,305,915",Creative Thinking International,"$10,758",1,N/A,R,"Crime,Documentary,Mystery",104,479,09/09/1992
Eve's Bayou,"$14,842,388","$14,842,388",Trimark Pictures,"$3,287,846",659,N/A,R,Drama,108,56,07/11/1997
Mansfield Park,"$4,775,847","$4,775,847",Miramax,"$85,608",8,N/A,PG-13,"Comedy,Drama,Romance",112,409,19/11/1999
Ernest Rides Again,"$1,450,029","$1,450,029",Emshell Production Group,"$905,010","1,190",N/A,PG,"Comedy,Family",96,56,12/11/1993
Wolves,"$4,811,282","$4,811,282",IMAX,"$48,513",8,N/A,N/A,"Documentary,Short",40,563,18/06/1999
The Gingerbread Man,"$1,677,131","$1,677,131",PolyGram,"$118,278",8,N/A,R,"Crime,Mystery,Thriller",114,343,23/01/1998
Wild Orchid II: Two Shades of Blue,"$573,904","$573,904",Triumph Releasing Corporation,"$323,288",266,N/A,R,"Drama,Romance",111,238,08/05/1992
Grizzly Man,"$3,178,403","$4,061,305",Lions Gate Films,"$269,131",29,N/A,R,"Biography,Documentary",103,147,12/08/2005
Stay,"$3,626,883","$8,483,797",Twentieth Century Fox,"$2,188,199","1,684",N/A,R,"Drama,Mystery,Thriller",99,77,21/10/2005
Bad Education,"$5,211,842","$40,350,837",Sony Pictures Classics,"$147,370",3,"$5,000,000",NC-17,"Crime,Drama",106,408,19/11/2004
Rize,"$3,336,391","$4,646,889",Lions Gate Films,"$1,574,787",352,N/A,PG-13,"Documentary,Music",86,191,24/06/2005
High Tension,"$3,681,066","$6,291,958",Lions Gate Films,"$1,897,705","1,323",N/A,R,Horror,91,205,10/06/2005
Supercross,"$3,102,550","$3,344,431",Twentieth Century Fox,"$1,330,520","1,621",N/A,PG-13,"Action,Drama,Romance,Sport",80,137,17/08/2005
Me and You and Everyone We Know,"$3,885,134","$8,012,838",IFC Films,"$30,801",1,N/A,R,"Comedy,Drama",91,198,17/06/2005
Melinda and Melinda,"$3,826,280","$20,129,327",Fox Searchlight,"$74,238",1,N/A,PG-13,"Comedy,Drama,Romance",99,289,18/03/2005
King's Ransom,"$4,008,527","$4,143,652",New Line Cinema,"$2,300,000","1,508",N/A,PG-13,"Comedy,Crime",95,254,22/04/2005
Kinsey,"$10,254,979","$17,050,017",Fox Searchlight,"$169,038",5,"$11,000,000",R,"Biography,Drama,Romance",118,415,12/11/2004
Ray,"$75,331,600","$123,971,376",Universal Pictures,"$20,039,730","2,006","$40,000,000",PG-13,"Biography,Drama,Music",152,429,29/10/2004
