title,domestic_revenue,world_revenue,distributor,opening_revenue,MPAA,genres,in_release,release_date
Driven,32720065,54744738,Warner Bros.,12174504.0,PG-13,"Action,Drama,Sport",249.0,2001-04-27
What's the Worst That Could Happen?,32269834,38464131,Metro-Goldwyn-Mayer (MGM),13049114.0,PG-13,"Comedy,Crime",214.0,2001-06-01
Supercross,3102550,3344431,Twentieth Century Fox,1330520.0,PG-13,"Action,Drama,Romance,Sport",137.0,2005-08-17
Land of the Lost,49438370,68777554,Universal Pictures,18837350.0,PG-13,"Action,Adventure,Comedy,Sci-Fi",210.0,2009-06-05
Slackers,5285941,6413915,Sony Pictures Entertainment (SPE),2785283.0,R,"Comedy,Romance",334.0,2002-02-01
Madagascar: Escape 2 Africa,180010950,603900354,DreamWorks,63106589.0,PG,"Adventure,Animation,Comedy,Family",420.0,2008-11-07
Flipped,1755212,1755212,Warner Bros.,224233.0,PG,"Comedy,Drama,Romance",148.0,2010-08-06
Mansfield Park,4775847,4775847,Miramax,85608.0,PG-13,"Comedy,Drama,Romance",409.0,1999-11-19
The Dark Knight,533345358,1003845358,Warner Bros.,158411483.0,PG-13,"Action,Crime,Drama,Thriller",532.0,2008-07-18
The Perfect Holiday,5812781,5812781,Yari Film Group Releasing,2283360.0,PG,"Comedy,Family,Fantasy,Romance",386.0,2007-12-12
The Road,8117000,27639579,Dimension Films,1502231.0,R,"Drama,Thriller",402.0,2009-11-25
Mistress America,2500431,3340737,Fox Searchlight,93206.0,R,"Comedy,Drama",147.0,2015-08-14
How to Be Single,46843513,112543513,Warner Bros.,17878911.0,R,"Comedy,Drama,Romance",324.0,2016-02-12
The Other Side of the Door,3000342,14332467,Twentieth Century Fox,1211210.0,R,"Horror,Thriller",303.0,2016-03-04
Compadres,3127773,7353544,Pantelion Films,1397434.0,R,"Action,Comedy,Crime",254.0,2016-04-22
The Mermaid,3232685,553810228,Sony Pictures Entertainment (SPE),985052.0,R,"Comedy,Drama,Fantasy,Romance",317.0,2016-02-19
The Martian,228433663,630161890,Twentieth Century Fox,54308575.0,PG-13,"Adventure,Drama,Sci-Fi",457.0,2015-10-02
Meru,2334228,2334228,Music Box Films,91279.0,R,"Documentary,Sport",147.0,2015-08-14
Sing Street,3237118,13624522,The Weinstein Company,63573.0,PG-13,"Comedy,Drama,Music,Romance",261.0,2016-04-15
Our Kind of Traitor,3153157,10711027,Roadside Attractions,984698.0,R,"Action,Crime,Drama,Thriller",184.0,2016-07-01
Jack and Jill,74158157,149673788,Sony Pictures Entertainment (SPE),25003575.0,PG,Comedy,417.0,2011-11-11
Everybody Wants Some!!,3400278,4644472,Paramount Pictures,312355.0,R,Comedy,277.0,2016-03-30
Ruby Sparks,2540106,9128263,Fox Searchlight,140822.0,R,"Comedy,Drama,Fantasy,Romance",160.0,2012-07-25
Girl in Progress,2609412,4709246,Lions Gate Films,1384078.0,PG-13,"Comedy,Drama",235.0,2012-05-11
A Man Called Ove,3479315,30692889,Music Box Films,54608.0,PG-13,"Comedy,Drama,Romance",458.0,2016-09-30
Albert Nobbs,3014696,7532259,Roadside Attractions,696088.0,R,"Drama,Romance",340.0,2012-01-27
Raiders of the Lost Ark,3125613,3332854,Paramount Pictures,1673731.0,PG,"Action,Adventure",116.0,2012-09-07
Jiro Dreams of Sushi,2552478,2692864,Magnolia Pictures,42035.0,PG,Documentary,298.0,2012-03-09
Maggie's Plan,3351735,5883891,Sony Pictures Classics,63308.0,R,"Comedy,Drama,Romance",226.0,2016-05-20
Last Ounce of Courage,3329674,3329674,Rocky Mountain Pictures,1708000.0,PG,"Drama,War",109.0,2012-09-14
Searching for Sugar Man,3696196,9122406,Sony Pictures Classics,27459.0,PG-13,"Biography,Documentary,Music",523.0,2012-07-27
Happy Feet Two,64006466,159196259,Warner Bros.,21237068.0,PG,"Adventure,Animation,Comedy,Family,Music,Musical,Romance",410.0,2011-11-18
The Cold Light of Day,3763583,16863583,Lions Gate Films,1831588.0,PG-13,"Action,Thriller",116.0,2012-09-07
Atlas Shrugged II: The Strike,3336053,3336053,Atlas Distribution Company,1751572.0,PG-13,"Drama,Mystery,Sci-Fi",84.0,2012-10-12
Samsara,2672413,4426444,Oscilloscope,76222.0,PG-13,"Documentary,Music",495.0,2012-08-24
Bully,3863446,3950244,The Weinstein Company,535433.0,PG-13,Documentary,263.0,2012-04-13
Nitro Circus: The Movie,3377618,4174269,Arc Entertainment,1183701.0,PG-13,"Action,Comedy,Documentary",146.0,2012-08-08
